,tic,datadate,fyearq,fqtr,actq,lctq,dvpspq,saleq,cshoq,prccq,epsfiq,oancfy,ivncfy,fincfy,meanest,actual
14,AAL,30/06/2017,2017,1,10626,15286,0.1,9820,495.75,42.3,0.67,2250,-1849,-349,1.84,1.92
15,AAL,30/09/2017,2017,2,11016,16112,0.1,11227,487.662,50.32,1.75,3938,-3253,-621,1.4,1.42
16,AAL,31/12/2017,2017,3,10002,15307,0.1,10964,480,47.49,1.36,4307,-3069,-1220,0.9,0.95
17,AAL,31/03/2018,2017,4,9146,14964,0.1,10611,475.508,52.03,-1.22,4744,-3626,-1145,0.72,0.75
18,AAL,30/06/2018,2018,1,9673,17008,0.1,10401,467.39,51.96,0.34,1799,-956,-841,1.59,1.63
19,AAL,30/09/2018,2018,2,9176,16669,0.1,11643,460.502,37.96,1.2,2883,-1035,-1941,1.13,1.13
20,AAL,31/12/2018,2018,3,9498,16348,0.1,11559,460.559,41.33,0.81,2804,-1583,-1305,1.03,1.04
21,AAL,31/03/2019,2018,4,8637,18096,0.1,10938,460.611,32.11,0.7,3533,-1973,-1672,0.51,0.52
22,AAL,30/06/2019,2019,1,8654,19849,0.1,10584,444.216,31.76,0.41,1651,-480,-1109,1.8,1.82
23,AAL,30/09/2019,2019,2,9850,20123,0.1,11960,445.262,32.61,1.49,2387,-2413,70,1.4,1.42
24,AAL,31/12/2019,2019,3,9572,19560,0.1,11911,438.035,26.97,0.96,3215,-2882,-296,1.18,1.15
25,AAL,31/03/2020,2019,4,8206,18311,0.1,11313,428.203,28.68,0.95,3815,-2243,-1568,-2.21,-2.65
26,AAL,30/06/2020,2020,1,7175,19213,0.1,8515,422.887,12.19,-5.26,-168,-162,526,-7.56,-7.82
27,AAL,30/09/2020,2020,2,13789,18000,0,1622,508.556,13.07,-4.82,-1076,-6961,8214,-5.88,-5.54
28,AAL,31/12/2020,2020,3,12340,16584,0,3172,508.604,12.29,-4.71,-3680,-6038,9725,-4.09,-3.86
93,PNW,30/06/2017,2017,1,794.996,1193.813,0.655,677.728,111.558,83.38,0.21,140.051,-348.684,202.78,1.13,1.49
94,PNW,30/09/2017,2017,2,1068.204,1638.594,0.655,944.587,111.623,85.16,1.49,290.562,-688.24,393.75,2.32,2.46
95,PNW,31/12/2017,2017,3,1174.205,1303.143,0.655,1183.322,111.657,84.56,2.46,771.924,-1039.639,269.508,0.12,0.19
96,PNW,31/03/2018,2017,4,1016.288,1197.852,0.695,759.659,111.752,85.18,0.19,1118.036,-1428.537,315.512,0.12,0.03
97,PNW,30/06/2018,2018,1,957.404,1874.391,0.695,692.714,111.933,79.8,0.03,166.872,-361.093,195.769,1.48,1.48
98,PNW,30/09/2018,2018,2,1118.711,2238.885,0.695,974.123,111.972,80.56,1.48,395.802,-679.096,273.241,2.69,2.8
99,PNW,31/12/2018,2018,3,1207.19,1734.788,0.695,1268.034,111.999,79.18,2.8,959.763,-913.316,4.652,0.18,0.23
100,PNW,31/03/2019,2018,4,924.991,1648.964,0.7375,756.376,112.102,85.2,0.23,1277.144,-1192.824,-92.446,0.12,0.16
101,PNW,30/06/2019,2019,1,876.389,1591.304,0.7375,740.53,112.277,95.58,0.16,173.432,-254.513,81.424,1.54,1.28
102,PNW,30/09/2019,2019,2,1028.567,1900.961,0.7375,869.501,112.303,94.09,1.28,345.934,-527.638,177.586,3.04,2.77
103,PNW,31/12/2019,2019,3,1133.155,1586.746,0.7375,1190.787,112.346,97.07,2.77,834.761,-832.013,21.338,0.46,0.57
104,PNW,31/03/2020,2019,4,1030.03,2078.365,0.7825,670.391,112.436,89.93,0.57,956.726,-1130.977,178.768,0.16,0.27
105,PNW,30/06/2020,2020,1,1078.307,2295.488,0.7825,661.93,112.492,75.79,0.27,183.628,-341.16,210.388,1.37,1.71
106,PNW,30/09/2020,2020,2,1147.089,1496.363,0.7825,929.59,112.555,73.29,1.71,369.032,-652.521,279.969,2.69,3.07
107,PNW,31/12/2020,2020,3,1454.686,1244.784,0.7825,1254.501,112.59,74.55,3.07,772.019,-955.503,355.127,0.09,-0.17
177,ABT,30/06/2017,2017,1,19329,6646,0.265,6335,1735.272,44.41,0.24,574,-6154,-4399,0.6,0.62
178,ABT,30/09/2017,2017,2,19983,6803,0.265,6637,1737.443,48.61,0.16,1925,-6160,-4783,0.65,0.66
179,ABT,31/12/2017,2017,3,21377,7935,0.265,6829,1740.601,53.36,0.34,3930,-6466,-5169,0.73,0.74
180,ABT,31/03/2018,2017,4,20147,8912,0.265,7589,1743.602,57.07,-0.48,5570,-9618,-5281,0.58,0.59
181,ABT,30/06/2018,2018,1,14964,9010,0.28,7390,1753.188,59.92,0.23,1108,-238,-6455,0.71,0.73
182,ABT,30/09/2018,2018,2,14122,8951,0.28,7767,1754.319,60.99,0.41,2352,-537,-8086,0.75,0.75
183,ABT,31/12/2018,2018,3,18196,12776,0.28,7656,1756.333,73.36,0.32,4535,-860,-5615,0.81,0.81
184,ABT,31/03/2019,2018,4,14632,9012,0.28,7765,1755.619,72.33,0.37,6300,-1356,-10391,0.61,0.63
185,ABT,30/06/2019,2019,1,14409,9113,0.32,7535,1764.181,79.94,0.38,712,-396,-1142,0.8,0.82
186,ABT,30/09/2019,2019,2,15195,9062,0.32,7979,1767.398,84.1,0.56,1772,-894,-1591,0.84,0.84
187,ABT,31/12/2019,2019,3,16119,10491,0.32,8076,1768.456,83.67,0.53,3720,-1326,-2104,0.95,0.95
188,ABT,31/03/2020,2019,4,15667,10863,0.32,8314,1762.503,86.86,0.59,6136,-1815,-4289,0.71,0.65
189,ABT,30/06/2020,2020,1,15498,10808,0.36,7726,1768.845,78.91,0.31,715,-393,-735,0.41,0.57
190,ABT,30/09/2020,2020,2,17221,10959,0.36,7328,1770.53,91.43,0.3,2037,-1012,-77,0.9,0.98
191,ABT,31/12/2020,2020,3,17390,10257,0.36,8853,1772.362,108.83,0.69,4103,-1484,-1992,1.35,1.45
261,AMD,30/06/2017,2017,1,2498,1372,0,1178,942,14.55,-0.04,-299,-246,3,0,0.02
