,tic,datadate,fyearq,fqtr,actq,lctq,dvpspq,saleq,cshoq,prccq,epsfiq,oancfy,ivncfy,fincfy,lastactual1,meanest,actual
0,AAL,31/03/2014,2013,4,14323,13806,0,7337,261.069,25.25,-8.66,675,-3814,3799,0.59,0.49,0.54
1,AAL,30/06/2014,2014,1,15193,15079,0,9995,649.953,36.6,0.65,1256,-943,-194,0.54,1.93,1.98
2,AAL,30/09/2014,2014,2,14966,15088,0,11356,720.502,42.96,1.17,2637,-2347,-220,1.98,1.64,1.66
3,AAL,31/12/2014,2014,3,13450,13888,0.1,11139,717.258,35.48,1.28,2276,-2125,-113,1.66,1.51,1.52
4,AAL,31/03/2015,2014,4,12112,13435,0.1,10160,697.475,53.63,0.82,3080,-2911,-315,1.52,1.71,1.73
5,AAL,30/06/2015,2015,1,14129,14233,0.1,9827,693.801,52.78,1.3,2494,-3202,762,1.73,2.59,2.62
6,AAL,30/09/2015,2015,2,14109,15045,0.1,10827,678.289,39.935,2.41,4841,-4695,-188,2.62,2.71,2.77
7,AAL,31/12/2015,2015,3,13706,14161,0.1,10706,640.108,38.83,2.49,6021,-6032,33,2.77,1.95,2
8,AAL,31/03/2016,2015,4,9985,13605,0.1,9630,624.622,42.35,5.09,6249,-5594,-1259,2,1.19,1.99
9,AAL,30/06/2016,2016,1,10802,15277,0.1,9435,585.658,41.01,1.14,2620,-2114,-401,1.99,1.64,1.77
10,AAL,30/09/2016,2016,2,11184,14917,0.1,10363,537.141,28.31,1.68,4833,-3771,-1006,1.77,1.57,1.76
11,AAL,31/12/2016,2016,3,11048,14533,0.1,10593,519.161,36.61,1.4,5897,-4642,-1264,1.76,0.91,0.92
12,AAL,31/03/2017,2016,4,10324,13872,0.1,9789,507.294,46.69,0.56,6524,-5698,-894,0.92,0.56,0.61
28,PNW,30/09/2001,2001,2,825.797,1335.586,0.375,773.417,84.721,47.4,0.79,273.403,-507.917,237.241,0.79,1.4,1.91
29,PNW,31/12/2001,2001,3,1178.269,1657.406,0.375,1160.778,84.643,39.7,1.77,438.726,-770.142,346.39,1.91,0.6,0.57
30,PNW,31/03/2002,2001,4,727.405,1090.929,0.4,520.974,84.825,41.85,0.42,570.93,-1119.804,567.13,0.57,0.63,0.63
31,PNW,30/06/2002,2002,1,768.667,650.392,0.4,499.844,84.807,45.35,0.63,136.085,-329.008,184.747,0.63,0.91,0.89
32,PNW,30/09/2002,2002,2,723.796,916.574,0.4,593.516,84.776,39.5,0.89,212.953,-453.575,225.862,0.89,1.45,1.37
33,PNW,31/12/2002,2002,3,846.722,1209.023,0.4,732.613,84.755,27.76,1.19,553.554,-686.999,132.925,1.37,0.58,0.53
34,PNW,31/03/2003,2002,4,812.688,1055.115,0.425,614.315,91.255,34.09,-0.95,870.774,-902.997,81.311,0.53,0.44,0.22
35,PNW,30/06/2003,2003,1,875.874,1361.682,0.425,552.643,91.254,33.24,0.28,181.434,-238.14,46.429,0.22,0.72,0.61
36,PNW,30/09/2003,2003,2,998.647,1065.889,0.425,652.283,91.271,37.45,0.61,307.832,-393.178,101.964,0.61,1.2,1.2
37,PNW,31/12/2003,2003,3,1040.335,1335.182,0.425,831.002,91.275,35.5,1.2,605.014,-498.806,17.972,1.2,0.54,0.54
38,PNW,31/03/2004,2003,4,969.047,1150.974,0.45,723.566,91.288,40.02,0.54,901.83,-716.766,-33.851,0.54,0.23,0.33
39,PNW,30/06/2004,2004,1,738.364,1325.761,0.45,565.516,91.359,39.35,0.34,226.381,-124.155,-311.811,0.33,0.59,0.55
40,PNW,30/09/2004,2004,2,1062.22,1087.306,0.45,703.044,91.318,40.39,0.79,384.053,-180.72,-160.296,0.55,1.2,1.15
41,PNW,31/12/2004,2004,3,1258.767,1487.244,0.45,847.165,91.572,41.5,1.15,630.447,-252.256,-228.039,1.15,0.43,0.34
42,PNW,31/03/2005,2004,4,1137.13,1625.896,0.475,713.281,91.793,44.41,0.37,842.08,-531.953,-277.823,0.34,0.37,0.27
43,PNW,30/06/2005,2005,1,1135.742,1587.367,0.475,585.358,98.35,42.51,0.27,195.951,-39.881,-147.32,0.27,0.78,0.89
44,PNW,30/09/2005,2005,2,1851.89,1922.007,0.475,755.342,98.761,44.45,0.28,334.146,-648.643,451.534,0.89,1.48,1.89
45,PNW,31/12/2005,2005,3,2892.951,2882.507,0.475,955.583,99.001,44.08,1.05,887.009,-484.435,305.313,1.89,0.17,0.24
46,PNW,31/03/2006,2005,4,1891.392,2272.073,0.5,691.672,99.057,41.35,0.22,730.296,-585.092,-154.567,0.24,0.3,0.12
47,PNW,30/06/2006,2006,1,1409.761,1796.921,0.5,670.206,99.197,39.1,0.13,3.057,31.697,126.098,0.12,0.86,1.03
48,PNW,30/09/2006,2006,2,1233.653,1560.209,0.5,925.028,99.478,39.91,1.13,56.225,-173.911,-20.709,1.03,1.61,1.84
49,PNW,31/12/2006,2006,3,1761.816,1681.27,0.5,1076.442,99.848,45.05,1.84,283.223,-560.33,251.326,1.84,0.26,0.14
50,PNW,31/03/2007,2006,4,1474.662,1458.56,0.525,730.072,99.959,50.69,0.18,393.502,-568.733,108.438,0.14,0.21,0.16
51,PNW,30/06/2007,2007,1,971.102,1090.885,0.525,695.017,100.115,48.25,0.16,214.581,-184.001,3.463,0.16,0.76,0.78
52,PNW,30/09/2007,2007,2,993.522,1269.762,0.525,862.902,100.29,39.85,0.78,290.32,-428.456,74.398,0.78,1.57,1.99
53,PNW,31/12/2007,2007,3,1068.972,1306.345,0.525,1050.021,100.367,39.51,2.07,477.474,-678.061,157.291,1.99,-0.07,0.03
54,PNW,31/03/2008,2007,4,947.447,1384.967,0.525,709.074,100.486,42.41,0.03,657.936,-873.354,184.529,0.03,0.14,-0.04
55,PNW,30/06/2008,2008,1,905.528,1341.571,0.525,688.256,100.486,35.08,-0.04,245.532,-248.118,-36.202,-0.04,0.78,1.03
56,PNW,30/09/2008,2008,2,1035.967,1183.719,0.525,880.895,100.706,30.77,1.33,678.836,-379.139,-259.47,1.03,1.55,1.5
57,PNW,31/12/2008,2008,3,999.703,1361.336,0.525,1063.012,100.799,34.41,1.5,783.941,-597.086,-138.648,1.5,-0.03,-0.1
58,PNW,31/03/2009,2008,4,882.482,1505.928,0.525,678.395,100.888,32.13,-0.39,813.568,-815.159,50.515,-0.1,-0.03,-0.29
59,PNW,30/06/2009,2009,1,801.564,1032.556,0.525,607.378,101.074,26.56,-1.55,-56.166,-182.033,165.758,-0.29,0.9,0.77
60,PNW,30/09/2009,2009,2,1184.822,1296.017,0.525,818.588,101.171,30.15,0.68,192.398,-541.337,261.289,0.77,1.68,1.96
61,PNW,31/12/2009,2009,3,1150.823,954.436,0.525,1089.036,101.275,32.82,1.84,760.97,-536.571,-228.82,1.96,-0.11,-0.16
62,PNW,31/03/2010,2009,4,928.737,1083.16,0.525,660.908,101.435,36.58,-0.3,1031.065,-704.917,-286.015,-0.16,-0.05,0.07
63,PNW,30/06/2010,2010,1,720.611,1393.726,0.525,612.262,101.534,37.73,-0.06,-13.675,-210.428,82.253,0.07,0.9,0.83
