,tic,datadate,fyearq,fqtr,actq,lctq,dvpspq,saleq,cshoq,prccq,epsfiq,oancfy,ivncfy,fincfy,lastactq1,lastlctq1,lastdvpspq1,lastsaleq1,lastcshoq1,lastprccq1,lastepsfiq1,lastoancfy1,lastivncfy1,lastfincfy1,lastactual1,meanest,actual
13,AAL,30/06/2017,2017,1,10626,15286,0.1,9820,495.75,42.3,0.67,2250,-1849,-349,10324,13872,0.1,9789,507.294,46.69,0.56,6524,-5698,-894,0.61,1.84,1.92
14,AAL,30/09/2017,2017,2,11016,16112,0.1,11227,487.662,50.32,1.75,3938,-3253,-621,10626,15286,0.1,9820,495.75,42.3,0.67,2250,-1849,-349,1.92,1.4,1.42
15,AAL,31/12/2017,2017,3,10002,15307,0.1,10964,480,47.49,1.36,4307,-3069,-1220,11016,16112,0.1,11227,487.662,50.32,1.75,3938,-3253,-621,1.42,0.9,0.95
16,AAL,31/03/2018,2017,4,9146,14964,0.1,10611,475.508,52.03,-1.22,4744,-3626,-1145,10002,15307,0.1,10964,480,47.49,1.36,4307,-3069,-1220,0.95,0.72,0.75
17,AAL,30/06/2018,2018,1,9673,17008,0.1,10401,467.39,51.96,0.34,1799,-956,-841,9146,14964,0.1,10611,475.508,52.03,-1.22,4744,-3626,-1145,0.75,1.59,1.63
18,AAL,30/09/2018,2018,2,9176,16669,0.1,11643,460.502,37.96,1.2,2883,-1035,-1941,9673,17008,0.1,10401,467.39,51.96,0.34,1799,-956,-841,1.63,1.13,1.13
19,AAL,31/12/2018,2018,3,9498,16348,0.1,11559,460.559,41.33,0.81,2804,-1583,-1305,9176,16669,0.1,11643,460.502,37.96,1.2,2883,-1035,-1941,1.13,1.03,1.04
20,AAL,31/03/2019,2018,4,8637,18096,0.1,10938,460.611,32.11,0.7,3533,-1973,-1672,9498,16348,0.1,11559,460.559,41.33,0.81,2804,-1583,-1305,1.04,0.51,0.52
21,AAL,30/06/2019,2019,1,8654,19849,0.1,10584,444.216,31.76,0.41,1651,-480,-1109,8637,18096,0.1,10938,460.611,32.11,0.7,3533,-1973,-1672,0.52,1.8,1.82
22,AAL,30/09/2019,2019,2,9850,20123,0.1,11960,445.262,32.61,1.49,2387,-2413,70,8654,19849,0.1,10584,444.216,31.76,0.41,1651,-480,-1109,1.82,1.4,1.42
23,AAL,31/12/2019,2019,3,9572,19560,0.1,11911,438.035,26.97,0.96,3215,-2882,-296,9850,20123,0.1,11960,445.262,32.61,1.49,2387,-2413,70,1.42,1.18,1.15
24,AAL,31/03/2020,2019,4,8206,18311,0.1,11313,428.203,28.68,0.95,3815,-2243,-1568,9572,19560,0.1,11911,438.035,26.97,0.96,3215,-2882,-296,1.15,-2.21,-2.65
25,AAL,30/06/2020,2020,1,7175,19213,0.1,8515,422.887,12.19,-5.26,-168,-162,526,8206,18311,0.1,11313,428.203,28.68,0.95,3815,-2243,-1568,-2.65,-7.56,-7.82
26,AAL,30/09/2020,2020,2,13789,18000,0,1622,508.556,13.07,-4.82,-1076,-6961,8214,7175,19213,0.1,8515,422.887,12.19,-5.26,-168,-162,526,-7.82,-5.88,-5.54
27,AAL,31/12/2020,2020,3,12340,16584,0,3172,508.604,12.29,-4.71,-3680,-6038,9725,13789,18000,0,1622,508.556,13.07,-4.82,-1076,-6961,8214,-5.54,-4.09,-3.86
91,PNW,30/06/2017,2017,1,794.996,1193.813,0.655,677.728,111.558,83.38,0.21,140.051,-348.684,202.78,822.219,1292.946,0.655,739.199,111.337,78.03,0.47,1023.39,-1252.078,198.081,0.21,1.13,1.49
92,PNW,30/09/2017,2017,2,1068.204,1638.594,0.655,944.587,111.623,85.16,1.49,290.562,-688.24,393.75,794.996,1193.813,0.655,677.728,111.558,83.38,0.21,140.051,-348.684,202.78,1.49,2.32,2.46
93,PNW,31/12/2017,2017,3,1174.205,1303.143,0.655,1183.322,111.657,84.56,2.46,771.924,-1039.639,269.508,1068.204,1638.594,0.655,944.587,111.623,85.16,1.49,290.562,-688.24,393.75,2.46,0.12,0.19
94,PNW,31/03/2018,2017,4,1016.288,1197.852,0.695,759.659,111.752,85.18,0.19,1118.036,-1428.537,315.512,1174.205,1303.143,0.655,1183.322,111.657,84.56,2.46,771.924,-1039.639,269.508,0.19,0.12,0.03
